Wall time,Step,Value
1748576207.3245957,2048,512.0
1748576263.7192903,4096,512.0
1748576319.95402,6144,512.0
1748576380.4107404,8192,512.0
1748576437.8262854,10240,467.0
1748576494.2232745,12288,474.20001220703125
1748576550.4146578,14336,479.4137878417969
1748576605.917955,16384,483.3636474609375
1748576661.2240913,18432,486.45947265625
1748576715.8337493,20480,488.95123291015625
1748576769.959345,22528,491.0
1748576826.7646832,24576,483.5400085449219
1748576884.3592722,26624,482.81817626953125
1748576943.3596022,28672,484.7966003417969
1748577000.654795,30720,486.5238037109375
1748577057.5063453,32768,481.3529357910156
