Wall time,Step,Value
1748576207.3245957,2048,-0.5679399967193604
1748576263.7206388,4096,-0.6160312294960022
1748576319.95402,6144,-0.8537275195121765
1748576380.4107404,8192,-0.6497622728347778
1748576437.8262854,10240,-1.4929420948028564
1748576494.2232745,12288,-1.2218810319900513
1748576550.4146578,14336,-1.0872477293014526
1748576605.917955,16384,-0.9775211811065674
1748576661.2240913,18432,-0.972682535648346
1748576715.8337493,20480,-0.9157974123954773
1748576769.959345,22528,-0.8696766495704651
1748576826.7646832,24576,-0.9908947348594666
1748576884.3592722,26624,-1.0396130084991455
1748576943.3596022,28672,-0.9742854833602905
1748577000.654795,30720,-0.9525639414787292
1748577057.5063453,32768,-1.0365995168685913
